INFO:root:FileData(name='All Users', extension='', is_directory=True, parent_directory='C:/Users/')
INFO:root:FileData(name='Lucida Sans Unicode Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Lucida Sans Unicode Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Lucida Sans Unicode', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Microsoft Sans Serif Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Microsoft Sans Serif Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Microsoft Sans Serif Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Microsoft Sans Serif', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='MS Gothic Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='MS Gothic Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='MS Gothic Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='MS Gothic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='MS Reference Sans Serif Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
